time,PF
1997,70
1997.0833,73
1997.1667,40
1997.25,61
1997.3333,52
1997.4167,134
1997.5,236
1997.5833,257
1997.6667,429
1997.75,668
1997.8333,891
1997.9167,467
1998,151
1998.0833,101
1998.1667,43
1998.25,32
1998.3333,87
1998.4167,72
1998.5,117
1998.5833,348
1998.6667,783
1998.75,426
1998.8333,270
1998.9167,209
1999,94
1999.0833,71
1999.1667,34
1999.25,50
1999.3333,44
1999.4167,31
1999.5,25
1999.5833,137
1999.6667,253
1999.75,277
1999.8333,284
1999.9167,205
2000,83
2000.0833,40
2000.1667,24
2000.25,18
2000.3333,26
2000.4167,24
2000.5,33
2000.5833,132
2000.6667,171
2000.75,132
2000.8333,115
2000.9167,70
2001,77
2001.0833,36
2001.1667,16
2001.25,19
2001.3333,17
2001.4167,12
2001.5,35
2001.5833,132
2001.6667,228
2001.75,152
2001.8333,150
2001.9167,74
2002,55
2002.0833,26
2002.1667,10
2002.25,17
2002.3333,3
2002.4167,9
2002.5,43
2002.5833,93
2002.6667,155
2002.75,109
2002.8333,71
2002.9167,60
2003,53
2003.0833,19
2003.1667,13
2003.25,24
2003.3333,7
2003.4167,21
2003.5,19
2003.5833,131
2003.6667,188
2003.75,241
2003.8333,213
2003.9167,187
2004,120
2004.0833,73
2004.1667,41
2004.25,25
2004.3333,20
2004.4167,18
2004.5,34
2004.5833,187
2004.6667,501
2004.75,334
2004.8333,607
2004.9167,354
2005,173
2005.0833,86
2005.1667,65
2005.25,42
2005.3333,46
2005.4167,21
2005.5,144
2005.5833,364
2005.6667,570
2005.75,528
2005.8333,486
2005.9167,234
2006,91
2006.0833,62
2006.1667,68
2006.25,22
2006.3333,13
2006.4167,43
2006.5,196
2006.5833,466
2006.6667,429
2006.75,333
2006.8333,315
2006.9167,179
2007,59
2007.0833,29
2007.1667,37
2007.25,27
2007.3333,16
2007.4167,19
2007.5,34
2007.5833,273
2007.6667,672
2007.75,499
2007.8333,278
2007.9167,161
2008,44
2008.0833,24
2008.1667,22
2008.25,20
2008.3333,15
2008.4167,6
2008.5,67
2008.5833,288
2008.6667,381
2008.75,293
2008.8333,173
2008.9167,66
2009,49
2009.0833,25
2009.1667,20
2009.25,22
2009.3333,8
2009.4167,6
2009.5,8
2009.5833,210
2009.6667,145
2009.75,146
2009.8333,255
2009.9167,128
2010,29
2010.0833,6
2010.1667,22
2010.25,30
2010.3333,13
2010.4167,21
2010.5,25
2010.5833,207
2010.6667,410
2010.75,378
2010.8333,364
2010.9167,415
2011,62
2011.0833,27
2011.1667,32
2011.25,11
2011.3333,5
2011.4167,7
2011.5,53
2011.5833,590
2011.6667,1142
2011.75,905
2011.8333,542
2011.9167,282
2012,86
2012.0833,22
2012.1667,11
2012.25,18
2012.3333,32
2012.4167,29
2012.5,66
2012.5833,616
2012.6667,866
2012.75,632
2012.8333,377
2012.9167,143
2013,16
2013.0833,15
2013.1667,15
2013.25,20
2013.3333,7
2013.4167,28
2013.5,108
2013.5833,242
2013.6667,196
2013.75,147
2013.8333,159
2013.9167,32
2014,10
2014.0833,6
2014.1667,6
2014.25,9
2014.3333,5
2014.4167,3
2014.5,5
2014.5833,80
2014.6667,111
2014.75,77
2014.8333,83
2014.9167,91