time,PV,PF
1997,260,192
1997.0833,321,123
1997.1667,389,82
1997.25,623,71
1997.3333,551,60
1997.4167,813,122
1997.5,1131,263
1997.5833,862,444
1997.6667,640,772
1997.75,369,691
1997.8333,138,408
1997.9167,99,320
1998,88,194
1998.0833,125,89
1998.1667,200,50
1998.25,213,32
1998.3333,243,26
1998.4167,335,40
1998.5,525,70
1998.5833,698,221
1998.6667,1109,727
1998.75,714,799
1998.8333,422,645
1998.9167,274,379
1999,259,236
1999.0833,272,115
1999.1667,379,65
1999.25,492,75
1999.3333,767,95
1999.4167,1010,196
1999.5,1205,435
1999.5833,1144,882
1999.6667,669,885
1999.75,391,704
1999.8333,236,426
1999.9167,225,298
2000,194,146
2000.0833,285,77
2000.1667,318,41
2000.25,287,31
2000.3333,387,69
2000.4167,590,136
2000.5,790,420
2000.5833,777,643
2000.6667,534,764
2000.75,325,578
2000.8333,266,427
2000.9167,176,250
2001,235,180
2001.0833,261,69
2001.1667,360,54
2001.25,338,31
2001.3333,451,44
2001.4167,709,109
2001.5,1076,298
2001.5833,1346,868
2001.6667,1045,1300
2001.75,357,750
2001.8333,228,672
2001.9167,176,406
2002,233,270
2002.0833,337,152
2002.1667,341,63
2002.25,435,65
2002.3333,433,52
2002.4167,459,30
2002.5,734,163
2002.5833,823,268
2002.6667,713,610
2002.75,474,689
2002.8333,214,303
2002.9167,152,261
2003,86,156
2003.0833,101,69
2003.1667,156,58
2003.25,276,27
2003.3333,300,34
2003.4167,501,29
2003.5,674,146
2003.5833,811,313
2003.6667,763,667
2003.75,299,583
2003.8333,131,294
2003.9167,147,363
2004,117,145
2004.0833,124,61
2004.1667,242,51
2004.25,373,34
2004.3333,388,36
2004.4167,463,35
2004.5,723,189
2004.5833,1146,527
2004.6667,780,616
2004.75,441,436
2004.8333,354,327
2004.9167,283,336
2005,150,165
2005.0833,242,72
2005.1667,277,43
2005.25,384,29
2005.3333,427,30
2005.4167,593,40
2005.5,667,84
2005.5833,936,265
2005.6667,1021,618
2005.75,485,612
2005.8333,243,400
2005.9167,198,311
2006,176,161
2006.0833,206,82
2006.1667,299,47
2006.25,355,32
2006.3333,394,51
2006.4167,828,84
2006.5,1042,214
2006.5833,1618,1012
2006.6667,1563,1434
2006.75,445,577
2006.8333,469,670
2006.9167,327,531
2007,290,221
2007.0833,266,86
2007.1667,325,52
2007.25,296,43
2007.3333,503,98
2007.4167,486,80
2007.5,717,161
2007.5833,901,529
2007.6667,719,886
2007.75,541,1107
2007.8333,178,689
2007.9167,156,435
2008,90,163
2008.0833,145,57
2008.1667,188,28
2008.25,278,57
2008.3333,483,39
2008.4167,594,66
2008.5,828,284
2008.5833,895,528
2008.6667,1195,1521
2008.75,429,1058
2008.8333,226,618
2008.9167,141,230
2009,185,208
2009.0833,235,115
2009.1667,409,95
2009.25,465,39
2009.3333,663,40
2009.4167,786,60
2009.5,1085,145
2009.5833,1633,580
2009.6667,1185,741
2009.75,747,714
2009.8333,389,539
2009.9167,222,297
2010,168,146
2010.0833,213,80
2010.1667,353,52
2010.25,617,36
2010.3333,628,28
2010.4167,646,16
2010.5,1526,154
2010.5833,2327,519
2010.6667,1373,860
2010.75,865,1067
2010.8333,554,817
2010.9167,315,503
2011,193,159
2011.0833,274,53
2011.1667,460,35
2011.25,653,38
2011.3333,774,15
2011.4167,889,34
2011.5,1321,120
2011.5833,1564,563
2011.6667,1516,1051
2011.75,546,739
2011.8333,355,406
2011.9167,248,254
2012,292,82
2012.0833,306,32
2012.1667,469,11
2012.25,706,7
2012.3333,863,13
2012.4167,1024,22
2012.5,1432,69
2012.5833,1584,358
2012.6667,1149,568
2012.75,944,745
2012.8333,340,272
2012.9167,174,111
2013,211,45
2013.0833,270,18
2013.1667,449,13
2013.25,685,5
2013.3333,721,6
2013.4167,879,9
2013.5,1293,125
2013.5833,1162,298
2013.6667,731,405
2013.75,459,384
2013.8333,318,404
2013.9167,190,145
2014,189,52
2014.0833,231,19
2014.1667,375,21
2014.25,482,13
2014.3333,465,14
2014.4167,591,16
2014.5,739,35
2014.5833,775,127
2014.6667,1096,266
2014.75,671,266
2014.8333,458,209
2014.9167,288,208